%
% MSNB_S (34.090600 N -77.867900 E)
% The MSBN-S Station is located on the southern end of Masonboro Island, NC. The station is a 10' tower with its meteorological sensor positioned approximately 8.4 feet above the primary sand dune. The station samples continuously at 1 Hz and averages the data every 6 minutes. Data is transmitted every 30 minutes. The installation and maintenance of the station is funded, in part, by grants from the National Science Foundation and U.S. Coastal Research Program. This site/dataset was established on 07/01/2021. Please be cautious in the vicinity of the station and do not climb on the tower or guy wires.
%
% MSNB_S Wind speed (m/s) @ 0 m (height)
% MSNB_S Rain (day) (m) @ 0 m (height)
%
Time (utc),MSNB_S Wind speed (m/s),MSNB_S Wind speed (m/s) quality,MSNB_S Rain (day) (m),MSNB_S Rain (day) (m) quality
2024-04-06 04:00,5.21,good,0.00,not evaluated
2024-04-06 04:06,4.83,good,0.00,not evaluated
2024-04-06 04:12,4.93,good,0.00,not evaluated
2024-04-06 04:18,4.98,good,0.00,not evaluated
2024-04-06 04:24,5.91,good,0.00,not evaluated
2024-04-06 04:30,5.38,good,0.00,not evaluated
2024-04-06 04:36,5.11,good,0.00,not evaluated
2024-04-06 04:42,4.73,good,0.00,not evaluated
2024-04-06 04:48,4.85,good,0.00,not evaluated
2024-04-06 04:54,4.40,good,0.00,not evaluated
2024-04-06 05:00,4.32,good,0.00,not evaluated
2024-04-06 05:06,4.43,good,0.00,not evaluated
2024-04-06 05:12,4.49,good,0.00,not evaluated
2024-04-06 05:18,4.34,good,0.00,not evaluated
2024-04-06 05:24,4.21,good,0.00,not evaluated
2024-04-06 05:30,4.42,good,0.00,not evaluated
2024-04-06 05:36,4.08,good,0.00,not evaluated
2024-04-06 05:42,4.54,good,0.00,not evaluated
2024-04-06 05:48,4.94,good,0.00,not evaluated
2024-04-06 05:54,4.17,good,0.00,not evaluated
2024-04-06 06:00,4.47,good,0.00,not evaluated
2024-04-06 06:06,4.59,good,0.00,not evaluated
2024-04-06 06:12,4.76,good,0.00,not evaluated
2024-04-06 06:18,4.92,good,0.00,not evaluated
2024-04-06 06:24,4.79,good,0.00,not evaluated
2024-04-06 06:30,5.18,good,0.00,not evaluated
2024-04-06 06:36,5.43,good,0.00,not evaluated
2024-04-06 06:42,5.58,good,0.00,not evaluated
2024-04-06 06:48,5.25,good,0.00,not evaluated
2024-04-06 06:54,5.48,good,0.00,not evaluated
2024-04-06 07:00,6.45,good,0.00,not evaluated
2024-04-06 07:06,6.63,good,0.00,not evaluated
2024-04-06 07:12,6.22,good,0.00,not evaluated
2024-04-06 07:18,5.88,good,0.00,not evaluated
2024-04-06 07:24,5.45,good,0.00,not evaluated
2024-04-06 07:30,5.58,good,0.00,not evaluated
2024-04-06 07:36,5.96,good,0.00,not evaluated
2024-04-06 07:42,6.17,good,0.00,not evaluated
2024-04-06 07:48,6.30,good,0.00,not evaluated
2024-04-06 07:54,6.88,good,0.00,not evaluated
2024-04-06 08:00,6.69,good,0.00,not evaluated
2024-04-06 08:06,6.60,good,0.00,not evaluated
2024-04-06 08:12,6.79,good,0.00,not evaluated
2024-04-06 08:18,6.73,good,0.00,not evaluated
2024-04-06 08:24,7.07,good,0.00,not evaluated
2024-04-06 08:30,7.52,good,0.00,not evaluated
2024-04-06 08:36,7.04,good,0.00,not evaluated
2024-04-06 08:42,7.46,good,0.00,not evaluated
2024-04-06 08:48,6.91,good,0.00,not evaluated
2024-04-06 08:54,7.92,good,0.00,not evaluated
2024-04-06 09:00,7.66,good,0.00,not evaluated
2024-04-06 09:06,7.31,good,0.00,not evaluated
2024-04-06 09:12,7.32,good,0.00,not evaluated
2024-04-06 09:18,8.05,good,0.00,not evaluated
2024-04-06 09:24,8.48,good,0.00,not evaluated
2024-04-06 09:30,7.57,good,0.00,not evaluated
2024-04-06 09:36,6.67,good,0.00,not evaluated
2024-04-06 09:42,7.17,good,0.00,not evaluated
2024-04-06 09:48,6.87,good,0.00,not evaluated
2024-04-06 09:54,6.85,good,0.00,not evaluated
2024-04-06 10:00,6.50,good,0.00,not evaluated
2024-04-06 10:06,6.55,good,0.00,not evaluated
2024-04-06 10:12,6.50,good,0.00,not evaluated
2024-04-06 10:18,6.46,good,0.00,not evaluated
2024-04-06 10:24,6.09,good,0.00,not evaluated
2024-04-06 10:30,6.89,good,0.00,not evaluated
