%
% SMC-23ST (34.258000 N -77.919900 E)
% SMC-23ST-WL (34.258000 N -77.919900 E)
% PBWL-00 is located near N 23rd St and Smith Creek.
% SMC-KERR-WL (34.262500 N -77.887700 E)
% PBWL-01 is located near Kerr Ave and Smith Creek.
%
% SMC-23ST Air pressure (mbar) @ 0 m (height)
% SMC-23ST Air temperature (deg C) @ 0 m (height)
% SMC-23ST Salinity (ppt) @ 0 m (depth)
% SMC-23ST-WL Water level (m) @ 0 m (depth)
% SMC-KERR-WL Water level (m) @ 0 m (depth)
%
Time (utc),SMC-23ST Air pressure (mbar),SMC-23ST Air pressure (mbar) quality,SMC-23ST Air temperature (deg C),SMC-23ST Air temperature (deg C) quality,SMC-23ST Salinity (ppt),SMC-23ST Salinity (ppt) quality,SMC-23ST-WL Water level (m),SMC-23ST-WL Water level (m) quality,SMC-KERR-WL Water level (m),SMC-KERR-WL Water level (m) quality
2024-04-06 04:00,,,,,,,0.05,good,,
2024-04-06 04:00,,,,,,,,,0.41,good
2024-04-06 05:00,,,,,,,,,-0.12,good
2024-04-06 05:00,,,,,,,-0.32,good,,
2024-04-06 06:00,,,,,,,,,-0.59,good
2024-04-06 06:00,,,,,,,-0.64,good,,
2024-04-06 07:00,,,,,,,,,-0.78,good
2024-04-06 07:00,,,,,,,-0.79,good,,
2024-04-06 08:00,,,,,,,,,-0.68,good
2024-04-06 08:00,,,,,,,-0.64,good,,
2024-04-06 09:00,,,,,,,-0.13,good,-0.19,good
2024-04-06 10:00,,,,,,,,,0.24,good
2024-04-06 10:00,,,,,,,0.30,good,,
2024-04-06 11:00,,,,,,,0.51,good,0.45,good
2024-04-06 12:00,,,,,,,0.66,good,,
2024-04-06 13:00,,,,,,,0.77,good,,
2024-04-06 14:00,,,,,,,0.72,good,,
2024-04-06 15:00,,,,,,,0.52,good,,
2024-04-06 16:00,,,,,,,0.21,good,,
2024-04-06 16:00,,,,,,,,,0.55,good
2024-04-06 17:00,,,,,,,-0.12,good,0.20,good
2024-04-06 18:00,,,,,,,-0.49,good,-0.38,good
2024-04-06 19:00,,,,,,,-0.72,good,-0.69,good
2024-04-06 20:00,,,,,,,-0.67,good,-0.69,good
2024-04-06 21:00,,,,,,,-0.19,good,-0.26,good
2024-04-06 22:00,,,,,,,0.30,good,0.22,good
2024-04-06 23:00,,,,,,,0.53,good,0.46,good
2024-04-07 00:00,,,,,,,0.69,good,0.60,good
2024-04-07 01:00,,,,,,,0.80,good,0.72,good
2024-04-07 02:00,,,,,,,,,0.83,good
2024-04-07 02:00,,,,,,,0.85,good,,
2024-04-07 03:00,,,,,,,,,0.82,good
2024-04-07 03:00,,,,,,,0.69,good,,
2024-04-07 04:00,,,,,,,,,0.70,good
2024-04-07 04:00,,,,,,,0.44,good,,
2024-04-07 05:00,,,,,,,0.13,good,0.51,good
2024-04-07 06:00,,,,,,,-0.23,good,0.09,good
2024-04-07 07:00,,,,,,,-0.59,good,,
2024-04-07 07:00,,,,,,,,,-0.50,good
2024-04-07 08:00,,,,,,,,,-0.78,good
2024-04-07 08:00,,,,,,,-0.80,good,,
2024-04-07 09:00,,,,,,,-0.61,good,-0.65,good
2024-04-07 10:00,,,,,,,,,-0.14,good
2024-04-07 10:00,,,,,,,-0.06,good,,
2024-04-07 11:00,,,,,,,0.37,good,0.30,good
2024-04-07 12:00,,,,,,,0.57,good,0.50,good
2024-04-07 13:00,,,,,,,0.73,good,0.64,good
2024-04-07 14:00,,,,,,,0.82,good,0.77,good
2024-04-07 15:00,,,,,,,0.76,good,,
2024-04-07 16:00,,,,,,,0.56,good,,
2024-04-07 17:00,,,,,,,0.25,good,,
2024-04-07 18:00,,,,,,,-0.08,good,,
2024-04-07 19:00,,,,,,,-0.44,good,,
2024-04-07 20:00,,,,,,,-0.71,good,-0.67,good
2024-04-07 21:00,,,,,,,-0.66,good,,
2024-04-07 21:00,,,,,,,,,-0.69,good
2024-04-07 22:00,,,,,,,-0.14,good,,
2024-04-07 23:00,,,,,,,,,0.26,good
2024-04-07 23:00,,,,,,,0.36,good,,
2024-04-08 00:00,,,,,,,0.58,good,0.49,good
2024-04-08 01:00,,,,,,,0.74,good,,
2024-04-08 01:00,,,,,,,,,0.64,good
2024-04-08 02:00,,,,,,,0.87,good,,
2024-04-08 03:00,,,,,,,0.89,good,,
2024-04-08 04:00,,,,,,,,,0.85,good
2024-04-08 04:00,,,,,,,0.72,good,,
2024-04-08 05:00,,,,,,,0.46,good,0.73,good
2024-04-08 06:00,,,,,,,0.13,good,,
2024-04-08 06:00,,,,,,,,,0.55,good
2024-04-08 07:00,,,,,,,,,0.14,good
2024-04-08 07:00,,,,,,,-0.23,good,,
2024-04-08 08:00,,,,,,,,,-0.47,good
2024-04-08 08:00,,,,,,,-0.59,good,,
2024-04-08 09:00,,,,,,,-0.81,good,-0.79,good
2024-04-08 10:00,,,,,,,,,-0.64,good
2024-04-08 10:00,,,,,,,-0.58,good,,
