%
% SMC-23ST (34.258000 N -77.919900 E)
%
% SMC-23ST Air pressure (mbar) @ 0 m (height)
% SMC-23ST Air temperature (deg C) @ 0 m (height)
% SMC-23ST Salinity (ppt) @ 0 m (depth)
%
Time (utc),SMC-23ST Air pressure (mbar),SMC-23ST Air pressure (mbar) quality,SMC-23ST Air temperature (deg C),SMC-23ST Air temperature (deg C) quality,SMC-23ST Salinity (ppt),SMC-23ST Salinity (ppt) quality
2024-04-26 16:00,,,,,1.73,not evaluated
2024-04-26 17:00,,,,,1.77,not evaluated
2024-04-26 18:00,,,,,1.28,not evaluated
2024-04-26 19:00,,,,,0.73,not evaluated
2024-04-26 20:00,,,20.99,not evaluated,0.51,not evaluated
2024-04-26 21:00,1028.95,not evaluated,21.59,not evaluated,0.40,not evaluated
2024-04-26 21:01,1028.97,not evaluated,22.13,not evaluated,0.40,not evaluated
2024-04-27 00:00,1029.67,not evaluated,19.53,not evaluated,0.46,not evaluated
2024-04-27 04:00,1031.00,not evaluated,18.25,not evaluated,2.24,not evaluated
2024-04-27 08:00,1030.14,not evaluated,16.22,not evaluated,1.55,not evaluated
2024-04-27 12:00,1031.54,not evaluated,17.38,not evaluated,0.43,not evaluated
2024-04-27 16:00,1033.00,not evaluated,21.57,not evaluated,1.54,not evaluated
2024-04-27 20:00,1031.56,not evaluated,21.58,not evaluated,0.72,not evaluated
2024-04-28 00:00,1031.44,not evaluated,20.10,not evaluated,0.40,not evaluated
2024-04-28 04:00,1030.44,not evaluated,19.46,not evaluated,1.73,not evaluated
2024-04-28 08:00,1028.18,not evaluated,17.95,not evaluated,1.90,not evaluated
2024-04-28 12:00,1029.43,not evaluated,18.10,not evaluated,0.47,not evaluated
2024-04-28 16:00,1029.14,not evaluated,21.99,not evaluated,1.29,not evaluated
2024-04-28 20:00,1027.60,not evaluated,23.44,not evaluated,1.02,not evaluated
2024-04-29 00:00,1026.95,not evaluated,21.68,not evaluated,0.44,not evaluated
2024-04-29 04:00,1026.04,not evaluated,19.50,not evaluated,1.43,not evaluated
2024-04-29 08:00,1023.91,not evaluated,18.43,not evaluated,2.67,not evaluated
2024-04-29 12:00,1024.58,not evaluated,19.01,not evaluated,0.55,not evaluated
2024-04-29 16:00,1024.95,not evaluated,23.16,not evaluated,1.02,not evaluated
2024-04-29 20:00,1022.91,not evaluated,24.94,not evaluated,1.61,not evaluated
2024-04-30 00:00,1022.24,not evaluated,22.17,not evaluated,0.54,not evaluated
2024-04-30 04:00,1022.06,not evaluated,20.62,not evaluated,1.19,not evaluated
2024-04-30 08:00,1020.89,not evaluated,19.40,not evaluated,3.31,not evaluated
2024-04-30 12:00,1021.58,not evaluated,20.61,not evaluated,0.75,not evaluated
2024-04-30 16:00,1020.80,not evaluated,24.59,not evaluated,0.84,not evaluated
2024-04-30 20:00,1018.53,not evaluated,25.83,not evaluated,2.06,not evaluated
2024-05-01 00:00,1018.54,not evaluated,23.54,not evaluated,0.73,not evaluated
2024-05-01 04:00,1018.86,not evaluated,21.42,not evaluated,0.92,not evaluated
2024-05-01 08:00,1017.68,not evaluated,20.89,not evaluated,3.38,not evaluated
2024-05-01 12:00,1019.22,not evaluated,20.84,not evaluated,1.14,not evaluated
2024-05-01 16:00,1018.55,not evaluated,23.68,not evaluated,0.64,not evaluated
2024-05-01 20:00,1017.05,not evaluated,24.84,not evaluated,2.20,not evaluated
2024-05-02 00:00,1017.86,not evaluated,23.10,not evaluated,0.99,not evaluated
2024-05-02 04:00,1018.60,not evaluated,21.54,not evaluated,0.66,not evaluated
2024-05-02 08:00,1018.20,not evaluated,21.00,not evaluated,2.47,not evaluated
2024-05-02 12:00,1019.50,not evaluated,21.30,not evaluated,1.95,not evaluated
2024-05-02 16:00,1020.43,not evaluated,25.10,not evaluated,0.62,not evaluated
2024-05-02 16:02,1020.41,not evaluated,25.59,not evaluated,0.62,not evaluated
2024-05-02 18:00,1019.43,not evaluated,26.11,not evaluated,1.02,not evaluated
