%
% SMC-KERR (34.262500 N -77.887700 E)
%
% SMC-KERR Air pressure (mbar) @ 0 m (height)
% SMC-KERR Air temperature (deg C) @ 0 m (height)
% SMC-KERR Salinity (ppt) @ 0 m (depth)
%
Time (utc),SMC-KERR Air pressure (mbar),SMC-KERR Air pressure (mbar) quality,SMC-KERR Air temperature (deg C),SMC-KERR Air temperature (deg C) quality,SMC-KERR Salinity (ppt),SMC-KERR Salinity (ppt) quality
2025-02-06 22:00,1017.47,not evaluated,18.65,not evaluated,0.29,not evaluated
2025-02-06 23:00,1018.15,not evaluated,16.28,not evaluated,0.26,not evaluated
2025-02-07 00:00,1018.69,not evaluated,16.19,not evaluated,0.16,not evaluated
2025-02-07 00:01,1018.67,not evaluated,16.48,not evaluated,,
2025-02-07 01:00,1018.32,not evaluated,15.19,not evaluated,0.12,not evaluated
2025-02-07 02:00,1018.00,not evaluated,14.39,not evaluated,0.11,not evaluated
2025-02-07 03:00,1017.95,not evaluated,14.28,not evaluated,0.10,not evaluated
2025-02-07 04:00,1017.67,not evaluated,14.07,not evaluated,0.10,not evaluated
2025-02-07 05:00,1017.46,not evaluated,14.56,not evaluated,0.10,not evaluated
2025-02-07 06:00,1017.47,not evaluated,14.39,not evaluated,0.11,not evaluated
2025-02-07 07:00,1017.46,not evaluated,14.89,not evaluated,0.14,not evaluated
2025-02-07 08:00,1017.15,not evaluated,14.63,not evaluated,0.17,not evaluated
2025-02-07 09:00,1017.61,not evaluated,15.14,not evaluated,0.23,not evaluated
2025-02-07 10:00,1017.28,not evaluated,14.88,not evaluated,0.32,not evaluated
2025-02-07 11:00,1017.83,not evaluated,15.33,not evaluated,0.40,not evaluated
2025-02-07 12:00,1018.83,not evaluated,15.43,not evaluated,0.39,not evaluated
2025-02-07 13:00,1019.52,not evaluated,15.98,not evaluated,0.28,not evaluated
2025-02-07 14:00,1020.41,not evaluated,18.10,not evaluated,0.16,not evaluated
2025-02-07 15:00,1020.96,not evaluated,20.75,not evaluated,0.12,not evaluated
2025-02-07 16:00,1021.23,not evaluated,22.44,not evaluated,0.11,not evaluated
2025-02-07 17:00,1020.85,not evaluated,26.70,not evaluated,0.11,not evaluated
2025-02-07 18:00,1019.94,not evaluated,32.07,not evaluated,0.11,not evaluated
2025-02-07 19:00,1019.48,not evaluated,35.19,not evaluated,0.12,not evaluated
