% Device,CC1320002
% File name,CC1320002_20240405_182151
% Cast time (UTC),2024-04-05 18:21:51
% Cast time (local),2024-04-05 14:21:51
% Sample type,Cast
% Cast data,Raw
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2553565
% Start longitude,-77.9374377
% Start altitude,-33.130001068115234
% Start GPS horizontal error(Meter),3.0699999332427979
% Start GPS vertical error(Meter),4.440000057220459
% Start GPS number of satellites,9
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),30.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Time (Seconds),Pressure (Decibar),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter)
4.2,0,18.044609069824219,153.84968566894531
4.4,0.0882128306797565,18.581050872802734,221.55630493164063
4.6,0.078635896955217888,18.758636474609375,230.84654235839844
4.8,-0.00016920907156858789,18.840904235839844,216.10946655273438
5,-0.059416362217493912,18.683185577392578,27.095603942871094
5.2,-0.059985842023577263,18.678918838500977,17.205348968505859
5.4,-0.061071259634834618,18.626060485839844,14.549013137817383
5.6,-0.059069633483886719,18.534439086914062,12.842765808105469
5.8,-0.060411589486259132,18.486717224121094,11.067811012268066
6,-0.060211454119000862,18.425352096557617,9.6445369720458984
6.2,-0.059494427272252182,18.374198913574219,8.9736099243164062
6.4,-0.059550830296107193,18.311771392822266,8.6915340423583984
6.6,-0.059092249189104606,18.199893951416016,8.1143884658813477
6.8,-0.056574685232979149,18.116645812988281,7.0186042785644531
7,-0.057658195495605469,18.092617034912109,6.1246347427368164
7.2,-0.056685583932059913,18.078155517578125,6.6831765174865723
7.4,-0.055969510759625862,18.002311706542969,6.3978681564331055
7.6,-0.057313374110631088,17.925642013549805,5.0414810180664062
7.8,-0.04887826102120485,17.930479049682617,67.044807434082031
8,0.14896038600376649,18.264640808105469,246.37022399902344
8.2,0.34806932721819273,18.612930297851562,259.14080810546875
8.4,0.50572872161865234,18.659875869750977,262.76535034179688
8.6,0.66234765733991274,18.677623748779297,263.19357299804688
8.8,0.84236022404262023,18.718742370605469,263.19039916992188
9,1.024666377476283,18.734308242797852,263.0802001953125
9.2,1.2102979932512561,18.73577880859375,262.91983032226562
9.4,1.3851111275809149,18.718315124511719,262.9046630859375
9.6,1.5545083454677044,18.709087371826172,262.8861083984375
9.8,1.7007484436035156,18.710910797119141,262.86648559570312
10,1.86317525591169,18.705265045166016,262.79037475585938
10.2,2.0086190359933038,18.695051193237305,262.83160400390625
10.4,2.1262918199811658,18.698520660400391,262.81781005859375
10.6,2.2254528318132678,18.694658279418945,262.85546875
10.8,2.3274338585989813,18.692529678344727,262.86529541015625
11,2.442258971078056,18.690507888793945,262.86392211914062
11.2,2.5398616790771484,18.694007873535156,262.8585205078125
11.4,2.6446531840733112,18.691295623779297,262.88372802734375
11.6,2.7520072119576593,18.693815231323242,262.8900146484375
11.8,2.8842788423810681,18.689105987548828,262.84237670898438
12,3.0114034925188342,18.689477920532227,262.89361572265625
12.2,3.1534197671072821,18.6955509185791,262.95248413085938
12.4,3.3015891483851849,18.697750091552734,263.01882934570312
12.6,3.4687576293945312,18.691020965576172,263.05072021484375
12.8,3.6464403697422565,18.689657211303711,263.02935791015625
13,3.7652985709054132,18.691570281982422,262.95635986328125
13.2,3.8091579164777478,18.688816070556641,262.91973876953125
13.4,3.8227142606462756,18.689346313476562,263.01388549804688
13.6,3.8416626793997626,18.688911437988281,262.959716796875
13.8,3.8595858982631146,18.688732147216797,262.93878173828125
14,3.8641529083251953,18.689861297607422,262.95584106445312
14.2,3.8646114894321979,18.688877105712891,262.9337158203125
14.4,3.8655831473214288,18.687896728515625,262.92364501953125
14.6,3.8609071459089,18.687976837158203,262.9107666015625
14.8,3.8297762189592639,18.68889045715332,263.152099609375
15,3.7904284340994696,18.688102722167969,263.42620849609375
15.2,3.6881581715175091,18.687808990478516,262.9822998046875
15.4,3.5707263946533203,18.689704895019531,263.04336547851562
15.6,3.4782064982822956,18.689220428466797,263.0953369140625
15.8,3.3949257986886163,18.691078186035156,263.03424072265625
16,3.2821012224469861,18.6915283203125,262.98846435546875
16.2,3.2008699689592639,18.699687957763672,263.01220703125
16.4,3.1301663262503485,18.697933197021484,263.03118896484375
16.6,3.0260621479579388,18.696756362915039,262.98980712890625
16.8,2.9329996109008789,18.697334289550781,262.9530029296875
17,2.894406182425362,18.695158004760742,262.9822998046875
17.2,2.8339669363839288,18.695384979248047,262.9849853515625
17.4,2.7457786287580213,18.694160461425781,262.91165161132812
17.6,2.6807102475847522,18.69462776184082,262.95880126953125
17.8,2.6305468423025946,18.690746307373047,262.93759155273438
18,2.5464583805629193,18.692386627197266,262.89251708984375
18.2,2.4474601745605469,18.692537307739258,262.86260986328125
18.4,2.3990887233189166,18.689441680908203,262.870849609375
18.6,2.3645932333809991,18.695327758789062,262.84475708007812
18.8,2.2686725343976697,18.695423126220703,262.80804443359375
19,2.1809686933244983,18.689456939697266,262.80715942382812
19.2,2.0873492104666571,18.695867538452148,262.83221435546875
19.4,1.973417418343681,18.705562591552734,262.85995483398438
19.6,1.9047250747680664,18.715610504150391,262.88113403320312
19.8,1.8679073878696979,18.710668563842773,262.88095092773438
20,1.8084647314889093,18.709941864013672,262.87448120117188
20.2,1.750048228672572,18.709903717041016,262.87905883789062
20.4,1.6918873105730334,18.713903427124023,262.91900634765625
20.6,1.6121275765555243,18.712179183959961,262.91464233398438
20.8,1.53056253705706,18.711923599243164,262.97994995117188
