% Device,CC1320002
% File name,CC1320002_20210919_214028
% Cast time (UTC),2021-09-19 21:40:28
% Cast time (local),2021-09-19 17:40:28
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,42.7546463
% Start longitude,-124.508823
% Start altitude,-19.600000381469727
% Start GPS horizontal error(Meter),2.5899999141693115
% Start GPS vertical error(Meter),3.6600000858306885
% Start GPS number of satellites,6
% End latitude,42.755088
% End longitude,-124.5086317
% End altitude,-19.6200008392334
% End GPS horizontal error(Meter),300
% End GPS vertical error(Meter),370.1400146484375
% End GPS number of satellites,3
% Cast duration (Seconds),32.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15321079977263713,18.389938777563732,151.00543461486987,174.00973459422403,0.084188759334363039,1477.4086899245467,998.59014541122326
0.44999999999999996,0.45963164066409273,18.176401485457582,150.86272651585492,174.7050718975128,0.084460383438812084,1476.7277154725389,998.63190151439551
0.74999999999999989,0.76603600800674343,17.893297849564618,149.37104293611719,174.11932682349507,0.084115797777491716,1475.816452270001,998.685503471085
1.05,1.0724270804923002,17.718558361591981,149.08955505688891,174.50209086519,0.084249434454649441,1475.2528603179831,998.71894736582374
1.35,1.3788059016528429,17.466395662252719,148.09048100045106,174.36196160636828,0.084118110557002371,1474.4323575869826,998.76575482510123
1.65,1.6851738751055274,17.338299106080061,147.83337834556485,174.58587315371744,0.084188456225834332,1474.0160266474397,998.79005203794543
1.9500000000000002,1.9915368700409231,17.297756156393852,147.61703565519332,174.49747819882771,0.084136104856555427,1473.8872282477844,998.79859537138361
2.25,2.297897201857352,17.253409193523812,147.39656266809195,174.41972787687325,0.084087666009351358,1473.7457306649026,998.80779640954711
2.55,2.6042545475634542,17.200804081664756,147.18590825436888,174.38756376483079,0.08405824034956,1473.5767805338023,998.81844614351678
2.85,2.9106093405248581,17.172393023420927,147.06763162841727,174.36481674959916,0.084039677279675512,1473.4876878524624,998.8248216806038
3.15,3.2169618677968925,17.130235332405523,146.9055270969817,174.34691016784524,0.084019637199546582,1473.3529913698428,998.83359993077875
3.4499999999999997,3.5233120985538249,17.100498744518472,146.76195229284485,174.29954118055835,0.083989174383385545,1473.2593141747411,998.84017666824434
3.75,3.8296601070278498,17.061069001763865,146.66822481196525,174.35151827193764,0.084002428894526554,1473.1334459212571,998.84847111356555
4.05,4.1360058483873248,17.029652948301468,146.57135980518936,174.36660729209365,0.084000615993186617,1473.0340441152866,998.85534039395441
4.35,4.44234936215312,16.991296593867212,146.38674987277054,174.30606071610347,0.083961572101909063,1472.9114374870526,998.86337736214364
4.6499999999999995,4.748690627863529,16.958875050819394,146.24738263077632,174.27467067890362,0.08393773438106078,1472.8084709045793,998.87038027971778
4.9499999999999993,5.05503007680213,16.936653569044328,146.13897333869923,174.23776207857961,0.0839141026590515,1472.7393795835799,998.87560491687555
5.2499999999999991,5.3613683390098634,16.927958780802971,146.11006557824175,174.23942141101719,0.083912189290709635,1472.7153284986566,998.87849923079466
5.55,5.6677059393620333,16.925312455334588,145.99555045654466,174.11384901672707,0.083852546815943174,1472.7113488010705,998.8803010000828
5.85,5.9740428770648544,16.916584187359145,145.9674458157387,174.11658016227185,0.083851121995249855,1472.6871777626152,998.8832005159029
6.1499999999999995,6.2803788181749534,16.901488630998983,145.87289245825377,174.06647976503643,0.08382327696922004,1472.6417491319667,998.88718011376136
6.4499999999999993,6.586713351223656,16.877091747070494,145.74931384399287,174.0203387621691,0.083794703726527739,1472.5652837172268,998.892763090588
6.7499999999999991,6.8930459011950624,16.839380472658714,145.25874868777842,173.59094117407213,0.083583533615683686,1472.4441085000894,998.9004928240214
7.0499999999999989,7.19937605247261,16.798485573663161,144.83517268312124,173.25409126112044,0.083414655451885755,1472.3122199290776,998.90878650604452
7.35,7.5057038376807217,16.762887903000856,144.77469722322755,173.32936548770712,0.083439561812237883,1472.1981360872271,998.9163037091439
7.6861056988956005,7.848897002566229,16.749788520975418,144.84006244950652,173.46203128279052,0.083497488112007051,1472.1598738941052,998.92015015626669
