% Device,CC1320002
% File name,CC1320002_20220804_171209
% Cast time (UTC),2022-08-04 17:12:09
% Cast time (local),2022-08-04 13:12:09
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.6990182
% Start longitude,-166.5374063
% Start altitude,23.860000610351562
% Start GPS horizontal error(Meter),1.75
% Start GPS vertical error(Meter),3.5999999046325684
% Start GPS number of satellites,6
% End latitude,53.6989596
% End longitude,-166.5353371
% End altitude,-6.7100000381469727
% End GPS horizontal error(Meter),47.630001068115234
% End GPS vertical error(Meter),69.989997863769531
% End GPS number of satellites,5
% Cast duration (Seconds),715.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14928318412672853,8.6852282859299716,32814.738281249993,48707.90543960248,30.768441078627312,1479.8310222305559,1023.854637067204
0.44999999999999996,0.44783193808005756,8.5915078213957479,32809.292212723027,48835.694407003517,30.844291350560731,1479.5769604222476,1023.9292067436452
0.74999999999999989,0.746349932043372,8.4960806244964662,32896.67872691065,49105.265621513558,31.018913619515896,1479.437435178319,1024.0813210601386
1.05,1.0448672951450524,8.5181339459259373,32737.301191080584,48835.208493251659,30.833062639385385,1479.2966526288474,1023.9339231418371
1.35,1.343430245588207,8.5099509911206077,32525.504962764207,48531.113894172428,30.619171582039449,1479.0074099355079,1023.7690037364674
1.65,1.6420279191684721,8.4898151522582417,32414.420805330203,48394.4456814126,30.520674339054338,1478.8150744864377,1023.69618002311
1.9500000000000002,1.940659274736656,8.4506722920582842,32180.3812132569,48101.247311697567,30.310285723129013,1478.4130356752889,1023.5384735696421
2.25,2.2393191847060603,8.40378041432355,32085.849653433648,48027.273044333677,30.251833559552839,1478.1685032077933,1023.5008250196104
2.55,2.5379798495338983,8.3032874279113962,32024.206528189115,48079.647688698911,30.273672126032938,1477.8193176292111,1023.533688385027
2.85,2.8366214745981679,8.1736760680426244,32012.9086953082,48250.469181718705,30.373545024666779,1477.4547281178559,1023.6317254910671
