% Device,CC1320002
% File name,CC1320002_20220806_063706
% Cast time (UTC),2022-08-06 06:37:06
% Cast time (local),2022-08-06 02:37:06
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8711311
% Start longitude,-166.577569
% Start altitude,22.6200008392334
% Start GPS horizontal error(Meter),2.5799999237060547
% Start GPS vertical error(Meter),3.4800000190734863
% Start GPS number of satellites,7
% End latitude,53.8711496
% End longitude,-166.5780244
% End altitude,48.639999389648438
% End GPS horizontal error(Meter),65.589996337890625
% End GPS vertical error(Meter),64.300003051757812
% End GPS number of satellites,6
% Cast duration (Seconds),328.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14919987308314783,9.0047721862792969,33830.21875,49743.3397945984,31.540242040653109,1481.9720428070948,1024.4104185067106
0.44999999999999996,0.44759400950690836,9.0076253907816248,33825.015385628569,49731.516089326018,31.532200563438462,1481.977707289637,1024.40506240358
0.74999999999999989,0.74599139321474739,9.0083469129820486,33821.648386058478,49725.510729172929,31.527948532292061,1481.9800966029118,1024.4029967424226
1.05,1.0443889578836338,9.0048342186247,33817.90267896693,49725.139757400451,31.527058442518832,1481.9708732987676,1024.4042090715182
1.35,1.3427874000842346,9.0017795973473511,33804.670305663087,49710.148565724427,31.515952648900011,1481.9508256455979,1024.3973607874034
1.65,1.6411884962510539,8.9983495741469923,33785.932441248253,49687.606699208329,31.499485527702124,1481.9228072602082,1024.3863763511565
1.9500000000000002,1.939590976349262,8.9942314460074684,33782.372021268129,49688.389153501186,31.499320613893143,1481.9122177691729,1024.3882480458831
2.25,2.2379947965806979,8.993584135169268,33766.918593637878,49666.605409082353,31.483782731448557,1481.8956802466994,1024.377564510195
2.55,2.5363988851779964,8.98883980226333,33771.8022735572,49680.722363621731,31.492903394521917,1481.8941460668293,1024.3867946441171
2.85,2.8348014588531965,8.9850292010188042,33768.179503117259,49680.9629077867,31.492400619603782,1481.8842817138789,1024.3883546969053
3.15,3.1332014815673013,8.9827412556200272,33784.420500424356,49708.203711843176,31.511095864237312,1481.9036214035491,1024.4046984386716
3.4499999999999997,3.4316002200805982,8.9926477050461724,33784.390452785628,49693.67309356483,31.502155270413343,1481.9344121636673,1024.3975609845261
3.75,3.7299990775693987,8.9744226286588464,33772.059783623838,49702.183540767066,31.505418726084972,1481.8755651313991,1024.404270696745
4.05,4.0283952684570208,8.95678755495392,33766.868460945807,49720.351794614326,31.515549425413578,1481.8273074779322,1024.4162591478216
4.35,4.3267898620118874,8.923883409525498,33730.147868869739,49714.455538127804,31.506576945957985,1481.6987365452692,1024.4156272721061
4.6499999999999995,4.6251832175180514,8.8948058158299173,33709.975150382794,49727.346622884608,31.511341373051756,1481.6011795774011,1024.4251490296745
4.9499999999999993,4.9235719650688008,8.8818889782642625,33722.674133886278,49765.044321348018,31.53584753706409,1481.5880369391964,1024.4476563980898
5.2499999999999991,5.2219581597491365,8.8663910253662745,33699.284523550923,49753.2856369458,31.525223016345436,1481.522132336162,1024.4430672406054
5.55,5.5203428780666384,8.8265317711387024,33674.76816242635,49775.673708231239,31.535070651962187,1481.3904308109468,1024.4581832464323
5.85,5.8187220290703889,8.7998409155202957,33674.293850453389,49814.278615422038,31.5581939987984,1481.3240930918096,1024.4816859776406
6.1499999999999995,6.1170980286113537,8.7648480542913152,33634.470768477542,49806.933403633069,31.547813637628309,1481.185501490208,1024.4802131272863
6.4499999999999993,6.4154706745032417,8.7320684636142829,33629.348185866264,49847.740914763614,31.571558831689469,1481.097017483293,1024.5051053467826
6.7499999999999991,6.7138374656360531,8.7222417168373543,33636.828055469108,49873.357082714938,31.587979579821521,1481.0853567079239,1024.5208086836187
7.0499999999999989,7.0122007900346457,8.697440844405163,33619.87330292027,49884.905886706569,31.592318590243433,1481.0027807942552,1024.5293024013056
7.35,7.3105596081380311,8.6480397422771773,33594.913406215353,49921.055823060211,31.610290075927139,1480.8447296681102,1024.5521461167107
7.6499999999999995,7.6089131913282753,8.6375029152644824,33598.92397950685,49942.654875638633,31.623764655629728,1480.8267247716667,1024.5656445917489
7.9499999999999993,7.9072646551135755,8.6325136429361766,33593.95434289414,49942.675560245953,31.622907287884228,1480.81188118672,1024.5670915720941
8.25,8.2056150796214045,8.6221840461949846,33589.100840950472,49950.80152259137,31.626948575104116,1480.7830337403066,1024.5731717758481
8.5499999999999989,8.503962669783018,8.6111620604158983,33592.937177070919,49972.88864438513,31.640687204541262,1480.763514244298,1024.5869479725182
8.85,8.8023078561910779,8.60247027900065,33586.168342205747,49975.742948867228,31.641265959810145,1480.7365333802097,1024.59007087375
9.1499999999999986,9.1006514578709563,8.5954869201291313,33587.321212491988,49987.847016986896,31.6485918616159,1480.724262776474,1024.5982219281004
9.45,9.3989928235595368,8.5801653214447047,33579.1277046436,49998.455015347354,31.653622802753254,1480.6778612702519,1024.6058182086572
9.75,9.6973316104974021,8.56832626239654,33578.105865534693,50014.56671247429,31.663033232066361,1480.6499110172417,1024.61632386433
10.049999999999999,9.9956686223371243,8.5459793037773455,33555.87639749865,50014.751534948031,31.659686717421149,1480.5667620542715,1024.6184001911079
10.35,10.294003113560033,8.5198703802159113,33546.280944887956,50039.395386038894,31.672934852823726,1480.4898611848325,1024.6340271030497
10.649999999999999,10.592333019817133,8.5024786046821816,33546.496611952454,50065.693657758384,31.688643364353968,1480.44872774347,1024.6502839284576
10.95,10.890659965485504,8.4886120920546055,33536.002914859608,50070.756624184265,31.689972955360982,1480.4031189497744,1024.6547532550317
11.25,11.188984400568268,8.4652113906803859,33526.209122270659,50091.136032099377,31.700606324720308,1480.3330687593705,1024.667919410829
11.549999999999999,11.48730787097109,8.45061036921139,33502.034425647216,50076.865647395127,31.688248210643621,1480.2677755116208,1024.6617692535119
11.85,11.785628184290705,8.3946336277322935,33476.798437592042,50123.020978124332,31.711990408783738,1480.0910064703608,1024.6899967991319
12.149999999999999,12.083940839343439,8.3414014504820617,33450.203760093675,50163.1639716363,31.731872081548072,1479.9195741690405,1024.7147692868925
12.45,12.382248824219383,8.315988470592595,33431.703099580758,50173.662307949082,31.73519510785442,1479.8326041015271,1024.7224703634267
12.75,12.680554136593393,8.2941728267254451,33420.987003370057,50190.445002650464,31.743468328681388,1479.7652858061138,1024.7335193829381
13.049999999999999,12.978855761810424,8.281106218170784,33423.706092130451,50214.23547796889,31.75799914100023,1479.7387402340016,1024.748191982791
13.35,13.277155814062562,8.2878018026677509,33424.885371723867,50205.9066108792,31.753058490509261,1479.7628746763141,1024.7447156626397
13.649999999999999,13.575456971720561,8.3003679708286473,33431.830868469668,50197.389557010574,31.748890856435203,1479.810150545715,1024.7409864813849
13.95,13.873757675302231,8.2737830006224424,33411.563093315715,50207.040018098771,31.751416719941048,1479.7176713488298,1024.7482246845796
14.249999999999998,14.172056898903819,8.2690429216956076,33409.144356341523,50210.558258281832,31.753015552774887,1479.7066345032558,1024.7515440514455
14.549999999999999,14.470356538551153,8.2987228857654287,33431.295243292887,50199.065228390682,31.749408652143352,1479.819325237047,1024.7457554565315
14.85,14.768659130368622,8.338922288513384,33454.263640545971,50172.9830242178,31.737169857807697,1479.9610122149759,1024.7316503725519
15.149999999999999,15.066963039636239,8.3237966493250948,33443.6677892513,50179.858167404571,31.7395325316083,1479.9117177677506,1024.7370931502621
15.45,15.365265645923225,8.30541860013847,33427.837879917832,50183.7828271266,31.739320333010017,1479.8469327068676,1024.740991670637
15.749999999999998,15.663563428043805,8.27711710941309,33432.919426835557,50234.098279773149,31.770099556751372,1479.7828556396407,1024.7706276914767
16.05,15.961856236416521,8.2764419705445818,33436.649667539561,50240.722396247766,31.774505768382209,1479.7906609125068,1024.7755542249704
16.35,16.260148063790485,8.2484041374966779,33408.779788597596,50241.177968178104,31.770343070083108,1479.6843703121465,1024.7777573403203
16.650000000000002,16.558438740530633,8.2257273457210331,33391.172988175167,50248.972190635039,31.77214755876847,1479.6056755127797,1024.7838495138592
16.95,16.856726968434852,8.1992607354321176,33375.738453618425,50265.785614313332,31.779673637667191,1479.5196441500821,1024.7949728226417
17.25,17.155011338616532,8.1695265080539539,33362.546758707256,50290.960214048318,31.792534325643619,1479.4277558431713,1024.8107461775887
17.55,17.453294360105772,8.1454601792908683,33328.797111174383,50276.564167297438,31.778533981582246,1479.3240884537668,1024.8046293406044
17.85,17.751573920294621,8.1055675014266058,33322.639203716804,50327.847728755667,31.808056373294271,1479.214090177014,1024.8349201154392
18.150000000000002,18.049847435219334,8.08215573383925,33310.9892862892,50345.8564706167,31.816838864679909,1479.1409413881374,1024.8465594512331
18.45,18.348119102830005,8.0797177727786,33308.687173771978,50346.087295191188,31.816479030673644,1479.136149653664,1024.848003849874
18.75,18.646389481985871,8.0679905602331079,33304.459205533814,50357.549160524257,31.822515945428375,1479.1039682774199,1024.8558029631454
19.05,18.944657236456681,8.048703410463709,33295.841369258764,50373.899628868356,31.830773520618621,1479.0457790289445,1024.8664301149554
19.35,19.242922295688622,8.0142596914468083,33268.796377993785,50385.4950692911,31.833275293486977,1478.9227627903222,1024.8747143688697
19.650000000000002,19.541184406770892,7.9370605799694491,33202.703601725,50403.258543837852,31.833211886811366,1478.633516892166,1024.8870800217746
19.95,19.839441614249562,7.8621158607371688,33150.24269619937,50438.387529097665,31.845562510622848,1478.36770758116,1024.9088037626334
20.25,20.137694192554076,7.81700857705823,33114.995090874749,50454.012304498763,31.849026798441496,1478.2045117641544,1024.919284102537
20.55,20.435944491141825,7.7491713922754339,33050.664773434459,50460.306884634854,31.842198974708062,1477.9413078842624,1024.9248612204265
20.85,20.73418924883741,7.6067463527629613,32942.814918783522,50515.335940582256,31.856985529719065,1477.4180322721693,1024.9577567544222
21.150000000000002,21.032422461739056,7.4436439995606545,32830.749159816667,50596.580890021563,31.886184385916874,1476.8310252170459,1025.004603601069
21.45,21.330650652974569,7.3542407208018918,32724.403807405433,50572.047246909358,31.853682247058927,1476.4500300607188,1024.9926631611475
21.75,21.628883887013796,7.2533353641479579,32594.525482224413,50528.922224979731,31.806115534209791,1476.004817194713,1024.9703297203382
22.05,21.927106702159836,7.1136263158280135,32562.786724433128,50699.329942043536,31.900473430053687,1475.5847202354776,1025.0646756176541
22.35,22.225317342521294,6.9692329260087753,32404.001815498232,50679.980171084666,31.8613057483699,1474.9778478057308,1025.0544100889567
22.650000000000002,22.523525803779371,6.88566657844503,32348.56241416782,50725.868211950314,31.878165170067632,1474.6771669561638,1025.0800461690017
22.95,22.821726282411735,6.8445777078731709,32340.369663987367,50778.455849944621,31.907226021930402,1474.5575820891613,1025.1096805010827
23.25,23.119919297290515,6.8147544544975771,32334.651031474648,50817.068347518834,31.928561063474014,1474.4723491318268,1025.1317516934498
23.55,23.418109022574875,6.8025018589733284,32321.988221907559,50816.738200720596,31.925966011414861,1474.4259785471272,1025.1326877636457
23.85,23.716296578180724,6.7945370519323172,32329.213787797114,50840.8311386819,31.941145006465444,1474.4186651903203,1025.1470594157991
24.150000000000002,24.014481604918029,6.7916351773659542,32328.782894116208,50844.794100324667,31.943234070478866,1474.4148107373526,1025.1504652856804
24.45,24.312666439629684,6.7913678305400111,32325.070879032191,50839.383588867619,31.939278915736608,1474.413717956829,1025.1487691550497
24.75,24.610850209520546,6.7844210823161522,32327.551341316132,50854.396966352426,31.948321595554411,1474.4027072774102,1025.1581764087157
25.05,24.909032515528562,6.7848062741316726,32327.676794395502,50853.978022678166,31.94795910576703,1474.4086727447386,1025.159224230031
25.35,25.207215179398482,6.774454431147344,32312.217095257136,50846.2185641536,31.940531804795938,1474.3636724859277,1025.1561051106405
25.650000000000002,25.505396940484623,6.7655046026091394,32313.048337026012,50861.852725569326,31.949637357009625,1474.3448712121131,1025.1658212808236
25.95,25.803577503792081,6.7622786314139773,32307.079201669963,50857.621987040249,31.945963339264313,1474.3325183903605,1025.1647305481833
26.25,26.1017591289907,6.7651067246322878,32301.685113300562,50844.60347216807,31.937279776882743,1474.3376475672733,1025.1589089596016
26.55,26.399940777111237,6.7550746104230193,32297.187757688342,50853.585063042781,31.941556409854279,1474.308541287493,1025.1649623186029
26.85,26.698120725884944,6.748177006983278,32295.789104760697,50862.430774618915,31.946309182804306,1474.2923283722405,1025.1709833342814
27.150000000000002,26.996300369520931,6.74228812647325,32284.328093950142,50853.813633908809,31.939095655041307,1474.2650792414818,1025.1674498836594
27.45,27.29448063076121,6.72080804679476,32260.998346462129,50851.47625948002,31.933395290086739,1474.1784831326372,1025.167125935242
27.75,27.5926609122017,6.6803987995706127,32219.818267367693,50851.345766209859,31.925742144867261,1474.014969239897,1025.1677003656284
28.05,27.890839420853929,6.6252561140530517,32177.19941483505,50872.6305627241,31.93022372331804,1473.808500202608,1025.179705503921
28.35,28.189014865362374,6.6077123614987707,32169.153261813004,50888.139093859456,31.937612539657568,1473.7535778111333,1025.1891598569025
28.65,28.487189451705934,6.5989649118820726,32155.313197282714,50880.326755879651,31.930417390190506,1473.7149941394137,1025.1859959761821
28.95,28.785363887803364,6.5816384300113393,32141.872562601231,50886.961792421629,31.93166852562269,1473.6531836041302,1025.1905824128517
29.25,29.083536791335902,6.5686078033420454,32134.738713248138,50896.667527172605,31.935847255722742,1473.6119592406442,1025.196924072618
29.55,29.381707387353906,6.560678835782296,32136.805640180548,50912.728790461028,31.945389828760593,1473.5975741219131,1025.2068396887419
29.85,29.679875610669637,6.5615821901467823,32144.065484489991,50922.772646241181,31.952396464214807,1473.6148383656823,1025.2136298280309
30.15,29.978043359534162,6.5642871464912975,32141.67522971522,50914.622403072557,31.947094616387531,1473.6237590869284,1025.2104917608376
30.45,30.276211872248211,6.5614133151418859,32135.356173568049,50909.247714440608,31.942681796446063,1473.6117942841504,1025.2087663969649
30.75,30.574381055355015,6.5507739376493248,32120.418164379618,50902.742081471639,31.936034718717586,1473.5663913109315,1025.2062710351975
31.05,30.872549368147968,6.5278783247811392,32106.381027874566,50917.4462948855,31.941832150289528,1473.4882269197733,1025.2151407537479
31.35,31.170714691972645,6.4965317044737452,32087.629454594091,50938.353714095429,31.950340708664942,1473.380039408072,1025.2272151191035
31.65,31.468876710373117,6.4453331324880034,32047.97508160118,50958.237501530166,31.954371187124252,1473.1876384265543,1025.2382615001748
31.950000000000003,31.767037536542041,6.3960246133094358,31994.745480718608,50953.497894691034,31.941608806721739,1472.9813604594103,1025.2358035492046
32.25,32.065198702559073,6.3624244243664165,31960.560042732475,50953.586384573871,31.935145650056743,1472.8450236405909,1025.2363137215575
32.55,32.363359984881839,6.3620362831604815,31957.660282369412,50949.593951475574,31.932158186060441,1472.84463466082,1025.2353931004095
32.85,32.661519809946441,6.3702220932220621,31977.30399849177,50967.608554803439,31.946076078363539,1472.8994830478982,1025.2467249494741
33.15,32.959680005816764,6.3651535915553552,31955.351887542158,50940.850320187346,31.926397342503964,1472.8595581190714,1025.2332324322294
33.45,33.257841396464556,6.3210172552271544,31916.680999300763,50950.901018347664,31.924818090082429,1472.6874551354358,1025.2388976303037
33.75,33.556000941720285,6.268928221696644,31872.194524487764,50964.641797943892,31.924231957425825,1472.484818129069,1025.2463128764223
34.05,33.854159825029718,6.24069875415225,31840.025941977674,50959.208999359791,31.91489351214317,1472.3657783467418,1025.2438393470604
34.35,34.152316587630047,6.1802018343345786,31798.791664138,50991.959309773061,31.925772151731962,1472.1436924266966,1025.2612871206839
34.65,34.450463980349824,6.1098065446100556,31781.915840910773,51080.2209511283,31.973102140781894,1471.9277395600914,1025.3086714479352
34.95,34.748604243667586,6.0781330996279568,31751.583519065636,51083.479527677518,31.969013360021147,1471.8011313095008,1025.3107109344603
35.25,35.046746603896111,6.0597668837967618,31713.792553200594,51052.850254560391,31.944044862206397,1471.701230497273,1025.2946383484948
35.55,35.344888989651366,6.0257419962235366,31697.383317116142,51082.393647465957,31.957671104283744,1471.5874037990227,1025.3109247817251
35.85,35.643029015132889,6.0030730826398981,31674.040903686553,51082.098892677772,31.952849373465916,1471.495606925866,1025.3112617215679
36.15,35.941169683338849,5.9693052775492852,31634.48710722266,51073.937280336067,31.940373059956613,1471.349683292023,1025.3068934904302
36.45,36.239309739458612,5.9155396055670142,31590.474566256569,51091.578813277483,31.941756865822015,1471.1410189191593,1025.3158611558206
36.75,36.5374466862336,5.8656284842406592,31554.630409058242,51116.131371129173,31.9486302955842,1470.9544730221944,1025.3286695907141
37.05,36.835580657131757,5.8264465047818454,31523.942564983197,51131.327381657749,31.951132564252507,1470.80525755134,1025.3367195772216
37.35,37.133712780957104,5.8027134773241489,31504.990294494921,51139.959337815744,31.952178039153466,1470.7161416166064,1025.3417639726056
37.65,37.431843637665359,5.7915205091880413,31497.192153184034,51145.886322478655,31.953873465303346,1470.6782042639136,1025.345824879279
37.95,37.729973228279924,5.7861725926923331,31496.207562698721,51153.171879142472,31.957686472144907,1470.6664311719424,1025.350862321741
38.25,38.028101958814545,5.7778160150877866,31488.034384190345,51153.782920715355,31.956274857497245,1470.6359521124125,1025.3521304620476
38.55,38.326229497782755,5.7639388346911176,31481.286748284052,51165.890878680351,31.961693483496191,1470.5919009889619,1025.3594481717396
38.85,38.624354688541544,5.7163081203994857,31443.73737559314,51184.109191023766,31.964472046879163,1470.408630705997,1025.3686726682997
39.15,38.922476904133283,5.663941929153733,31404.316135114095,51207.2391209045,31.969623286075972,1470.2090501117054,1025.3803034500679
39.45,39.220595153694553,5.618880733312043,31376.996011583033,51237.986595385562,31.981474836275567,1470.0471780156402,1025.3963446600044
39.75,39.518710343901866,5.5826402795224954,31346.34215084833,51248.587212133534,31.981182227496568,1469.9053676405108,1025.4017387102244
40.05,39.816823936966777,5.563519110621689,31333.017543368089,51258.851164948108,31.984172388764978,1469.8367930057214,1025.4077213559194
40.35,40.114936312635621,5.552871658629229,31324.35141562995,51262.532317126439,31.984364023428679,1469.7988972776061,1025.4105030766941
40.65,40.413047829903171,5.5316794900028281,31306.258732211114,51268.484497326637,31.983933263261395,1469.7175543921326,1025.4140161190626
40.95,40.711158807630412,5.5139084444468818,31288.227119047817,51268.796286799261,31.980310212397274,1469.6459638879542,1025.4146042679633
41.25,41.009271253445,5.5023730003804507,31264.086800912242,51248.614002134018,31.963833580148542,1469.5832854024604,1025.4043059853918
41.55,41.307386941231634,5.4794749518654964,31227.469805669622,51227.046815907081,31.944035330050195,1469.4703578917533,1025.3926910919142
41.85,41.6055041422825,5.4426962416652822,31192.1921808727,51230.99467481074,31.938934723625998,1469.3197438442951,1025.3942852611958
42.15,41.903619849582164,5.3967276464278431,31156.398742765406,51249.593550289355,31.941979906130147,1469.1420316442632,1025.4033564339004
42.45,42.201733115787476,5.3500897569812045,31118.926607361678,51266.613800052481,31.943744941089971,1468.9597664879018,1025.4114677812047
42.75,42.499844401085596,5.3042959969681434,31079.857758221333,51279.623458883158,31.942873579981253,1468.7773705831478,1025.4173733766907
43.05,42.7979544319913,5.2669360421185907,31045.863833395782,51286.763533304562,31.939706587730413,1468.6261911472718,1025.420486815703
43.35,43.096062190712,5.2276171550668709,31020.882190021806,51312.152775532246,31.948660673606977,1468.4822943633524,1025.4333946038082
43.65,43.394166726819961,5.1974606839427455,31001.126942434861,51330.685164066555,31.954818467436372,1468.3720693937078,1025.4430469032266
43.95,43.692268526073335,5.1804408259594794,30993.926979348886,51347.704226854265,31.962736328084219,1468.3176061561721,1025.4526132312847
44.25,43.9903688104787,5.1734189934042218,30987.133819458984,51348.396789625724,31.96155542982298,1468.2923492800089,1025.4538584069826
44.55,44.288468618825526,5.1539991050100067,30969.715701192912,51352.58443389582,31.960109124073938,1468.2161364078124,1025.4562779744617
44.85,44.586568278514179,5.1265869798699608,30940.835033646672,51351.377861555935,31.95321418783162,1468.1003000665603,1025.4552706308116
45.15,44.88466784220671,5.086052332410735,30902.767840322194,51357.299221060712,31.948364479570532,1467.9333252110921,1025.4573278863784
45.45,45.18276744615185,5.0473389067303227,30862.075035552931,51355.754217289628,31.938738851365571,1467.7675539472414,1025.4553831444059
45.75,45.480865272188346,5.0109441768675573,30841.850653829912,51384.3391132006,31.950312082253877,1467.6381311968025,1025.4699495909638
46.05,45.778960033288776,4.9926988467059683,30830.579923934711,51396.808405791009,31.95474622743966,1467.5739024646962,1025.4768598665949
46.35,46.077053028533534,4.9821856873811141,30825.304136991224,51406.032332667732,31.958636302192946,1467.5406556317964,1025.4824886670417
46.65,46.3751445034651,4.9755289420972346,30823.271814264725,51414.058236978984,31.962546104996878,1467.5232392395358,1025.4877096612684
46.95,46.673235202872995,4.9692187634496907,30816.379024033915,51413.383957838465,31.96054819104717,1467.4997108997022,1025.4882140573927
47.25,46.971324801703879,4.96938912571396,30823.344567718232,51424.712793480947,31.968227045733247,1467.5150940215908,1025.4956716514473
47.55,47.269414483943052,4.9741780073656443,30818.110405388677,51407.765707229155,31.957477123000157,1467.5259312661797,1025.4880296294925
47.85,47.567504720554439,4.9656323162806988,30813.165252297553,51414.174957283278,31.959858564914128,1467.4988135375224,1025.4922467374804
48.15,47.865593566825929,4.9591987063131988,30811.916316542221,51423.131537308669,31.964453900415332,1467.4831760619295,1025.4979853547677
48.45,48.163681258765706,4.9523163517625974,30806.776574327239,51426.367517840335,31.965015926019351,1467.460552361217,1025.5005786555257
48.75,48.46176887948927,4.939253117707529,30790.98652576837,51422.435965106095,31.959287497050568,1467.40453626515,1025.4988648260642
49.05,48.759856493957187,4.9283803330164311,30781.5422213919,51425.339224646043,31.958737408981037,1467.364097429311,1025.5010111609749
49.35,49.057943081753159,4.912448372832614,30770.737916475628,51434.669494360984,31.961484278694027,1467.3070723262078,1025.5063184567259
49.65,49.3560286391145,4.8948283862848312,30754.879781355638,51438.461836873059,31.960044771863426,1467.2377468845443,1025.5084907099911
49.95,49.654114066928528,4.8817759542188774,30740.027989841234,51436.079363116267,31.955367668709361,1467.1830350981031,1025.5075992959066
50.25,49.952199017921473,4.86897683296916,30731.409856282371,51443.6936158477,31.957612039415778,1467.1381764234588,1025.5121610601832
50.55,50.250283386946386,4.8556463189948156,30717.097006138356,51442.693080463432,31.95381534935493,1467.0834079868623,1025.5119931295176
50.85,50.54836763103286,4.8342761401112568,30696.859015905902,51445.623938961478,31.95092610305624,1466.9966954048784,1025.5134101974663
51.15,50.846451661125037,4.8195728709953158,30681.92379910146,51445.947820642548,31.947723234874577,1466.9369837682316,1025.5138550397803
51.45,51.144535536752016,4.799829154657794,30662.808471794429,51447.960175640386,31.944549441484842,1466.8565261546567,1025.5148625034221
51.75,51.442618162597256,4.78459592398688,30655.636009094163,51462.232503221232,31.950794339422263,1466.8066400851608,1025.5228440690398
52.05,51.740699111559387,4.7722021896605717,30646.751290083368,51468.734316077091,31.952333639416647,1466.7624273370916,1025.5267904086352
52.35,52.038779694734252,4.7626212755480832,30635.090977496082,51465.713812420123,31.947962636067317,1466.7222477059279,1025.5257504901995
52.65,52.336860270045385,4.7551388106637,30628.192297368492,51467.063373927034,31.947060930677832,1466.695141807332,1025.527233983215
52.95,52.634939570861981,4.7418787267806284,30622.56874557757,51480.555460008552,31.953194488234317,1466.6531869757664,1025.5349097679793
53.25,52.933017739884036,4.7313765123325791,30611.7260024704,51480.505771020478,31.950648772584493,1466.6115068243435,1025.5354113535832
53.55,53.231095373416515,4.72382846279,30607.05307235253,51485.71811781951,31.952377480475562,1466.587466913991,1025.5389839912948
53.85,53.5291712999938,4.7204397292493034,30611.790069112907,51499.55779252213,31.960963039663334,1466.5893481617459,1025.5475466528071
54.15,53.827247073827486,4.7163575065261885,30598.726929144825,51484.652724387328,31.949664123789354,1466.5629600764366,1025.5404245050418
54.45,54.125323181401896,4.70993512050464,30596.920476816485,51492.741994747215,31.953617903243384,1466.5463987460958,1025.5456395761098
54.75,54.423398126422633,4.7086785819901005,30597.796487243504,51496.394231738741,31.955691260937368,1466.548757206202,1025.5488137354171
55.05,54.721472885343211,4.70220127777519,30588.597702343028,51492.139279978372,31.951160118778706,1466.5211220116726,1025.547309639001
55.35,55.019547350697621,4.6974255785011074,30586.9355012003,51497.621267452785,31.953693912774938,1466.5095371702423,1025.5512233114712
