% Device,CC1320002
% File name,CC1320002_20230908_182102
% Cast time (UTC),2023-09-08 18:21:02
% Cast time (local),2023-09-08 14:21:02
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.1588268
% Start longitude,-77.8141963
% Start altitude,-34.860000610351562
% Start GPS horizontal error(Meter),2.0299999713897705
% Start GPS vertical error(Meter),2.869999885559082
% Start GPS number of satellites,7
% End latitude,34.1595441
% End longitude,-77.8140781
% End altitude,-34
% End GPS horizontal error(Meter),5.6599998474121094
% End GPS vertical error(Meter),8.3599996566772461
% End GPS number of satellites,6
% Cast duration (Seconds),120.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.1498216157515376,28.461130309561053,56171.045667709157,52534.472562080729,34.620569889457407,1541.9423767632407,1021.9609204690731
0.44999999999999996,0.44947226363398163,28.45089454305,56183.264103824957,52555.962425076228,34.6364431222519,1541.9418310599626,1021.9775062843872
0.74999999999999989,0.74911749297674757,28.449589256281925,56175.34363979406,52549.836604396151,34.631809790500881,1541.9391724897967,1021.9757407006381
1.05,1.0487616658577152,28.449095519146038,56190.117068318774,52564.1421267745,34.642341765523568,1541.9542350944828,1021.9851018032028
1.35,1.3484027871472912,28.441485758435842,56197.660609548788,52578.684716562049,34.653056285207619,1541.95398102552,1021.9969457726714
1.65,1.6480415565011282,28.440211012725118,56201.969464276612,52583.970384111948,34.656893747103425,1541.9602991163886,1022.0015344958885
1.9500000000000002,1.9476773574079149,28.435444866904152,56222.355952259044,52607.736393227824,34.67445377329306,1541.9734429255591,1022.0175845205965
2.25,2.2473094681336554,28.432699404733224,56233.617566693843,52620.977597205681,34.684199163301862,1541.9827701455743,1022.0270969917725
2.55,2.5469382122949176,28.420820409309965,56237.781617090892,52636.5761384769,34.695702172298212,1541.9740312810568,1022.0409400692043
2.85,2.8465613132012879,28.392082417609391,56234.98144487189,52662.285210217684,34.714723856609687,1541.9364108645048,1022.0659852516307
3.15,3.1461756071646487,28.352819864307964,56234.296994155222,52700.3981581252,34.742960563067975,1541.8854515064795,1022.1014143928943
3.4499999999999997,3.4457707346111759,28.271322092704786,56277.609287746258,52821.675037283487,34.832980902524938,1541.807041598526,1022.1971530410021
3.75,3.7453402302815531,28.222504452400688,56344.784506872995,52933.232930878614,34.915788966260841,1541.7923808086837,1022.2767161744483
4.05,4.0448760409154358,28.127566575315694,56469.37084019748,53145.075598507145,35.073170711482952,1541.7549596130593,1022.4274661697643
4.35,4.3443812940225364,28.100862939161022,56532.673765816704,53231.407774472136,35.13728219238206,1541.7689332539821,1022.4857099719256
4.6499999999999995,4.64385750098925,28.010269912073181,56643.974977381731,53427.359520462436,35.282941394428931,1541.7282605086657,1022.6261988511
4.9499999999999993,4.9433038184607261,27.925028722586458,56619.078056269194,53489.888832224911,35.329309101196593,1541.5941924082108,1022.6902259495312
5.2499999999999991,5.2427269527541407,27.881890971511094,56722.957732427669,53631.741121914369,35.434794108172291,1541.6153383967708,1022.7849513118507
5.55,5.5421329453636066,27.869969403168646,56743.515756822948,53663.276522931134,35.458176296467393,1541.6187342098456,1022.8077192072326
5.85,5.8415329488526755,27.845998076273734,56735.75965435557,53680.28017227308,35.4707155726285,1541.5840000724359,1022.8262600764836
6.1499999999999995,6.1409291250603646,27.827048443848181,56716.591759868788,53681.393746761139,35.471423978397247,1541.5478481184839,1022.8342584629791
6.4499999999999993,6.4403199497564634,27.803676917684836,56729.463320776529,53717.341890046373,35.498074365231595,1541.5292986825741,1022.8632153237718
6.7499999999999991,6.7397049541215184,27.752445570848923,56661.943187852812,53705.513151758292,35.489077044024405,1541.4112203665654,1022.8744178044336
6.9695268466772617,6.9587810613372039,27.748854222824324,56646.294572772684,53694.336500167941,35.480677606050975,1541.3980638542571,1022.8702069157891
