Location Properties
Location Name = Smith Creek
Location ID = 78306c8f-8586-4d97-82f2-a00cd9e1807f
Latitude = 34.1415711 °
Longitude = -77.8678261 °

Report Properties
Start Time = 2024-02-21 12:51:36.670
Duration = 43.21:00:00
Readings = 1054
Time Offset = -04:00:00

Instrument Properties
Device Model = Aqua TROLL 200
Device SN = 1099450
Device Firmware = 2.01

Log Properties
Log Name = Smith Creek 23rd St
Log Type = Linear Average
Log File Number = 1
Log ID = 02852e65-3bf2-5857-8ab5-427fb147a90d
Interval = 01:00:00
Averaging Interval = 00:00:01
Sample Size = 5


Date Time,Pressure (psi) (1099450),Temperature (°C) (1099450),Depth (ft) (1099450),Specific Conductivity (µS/cm) (1099450),Salinity (PSU) (1099450)
2024-02-21 12:51:36.670,-0.0049471855,17.090408,-0.011425632,0,1.8626452E-10
2024-02-21 13:51:36.670,0.04012561,19.401463,0.09271116,0,0
2024-02-21 14:51:36.670,0.28115496,20.350239,0.64974177,0,4.656613E-11
2024-02-21 15:51:36.670,1.4595611,11.47096,3.3669522,847.52,0.4725557
2024-02-21 16:51:36.670,1.8743391,11.665024,4.3235807,992.1287,0.55654097
2024-02-21 17:51:36.670,2.3816273,11.951914,5.493472,1175.8269,0.6641146
2024-02-21 18:51:36.670,2.751888,12.048025,6.3468914,1413.2594,0.80473405
2024-02-21 19:51:36.670,2.956448,12.00353,6.818016,1612.5101,0.92395324
2024-02-21 20:51:36.670,3.0856895,11.945706,7.115336,1816.2543,1.0468241
2024-02-21 21:51:36.670,3.1469922,11.888983,7.2559853,2009.4143,1.1641319
2024-02-21 22:51:36.670,3.0275552,11.874492,6.9808593,1927.4271,1.1142938
2024-02-21 23:51:36.670,2.6647472,11.791577,6.1454277,1518.6002,0.8678738
2024-02-22 00:51:36.670,2.242535,11.584612,5.172408,1183.0781,0.6686752
2024-02-22 01:51:36.670,1.7925678,11.263069,4.134825,966.02374,0.5415621
2024-02-22 02:51:36.670,1.4548872,11.04568,3.3560097,853.5228,0.47626916
2024-02-22 03:51:36.670,1.3248596,10.938818,3.056092,815.60706,0.45437485
2024-02-22 04:51:36.670,1.7027099,11.011473,3.9275215,926.3882,0.5186158
2024-02-22 05:51:36.670,2.3543684,11.257024,5.430212,1161.2494,0.65605104
2024-02-22 06:51:36.670,2.8194988,11.359248,6.502275,1428.2527,0.8142999
2024-02-22 07:51:36.670,3.0622268,11.381531,7.060855,1794.0934,1.0340528
2024-02-22 08:51:36.670,3.2405376,11.353862,7.470211,2292.1753,1.3377955
2024-02-22 09:51:36.670,3.3550448,11.325743,7.7295113,3527.8696,2.109215
2024-02-22 10:51:36.670,3.3259664,11.305806,7.6592207,4390.9585,2.6602454
2024-02-22 11:51:36.670,3.0692987,11.474446,7.0741625,2702.7415,1.5913067
2024-02-22 12:51:36.670,2.6853602,11.622793,6.1923285,1697.1213,0.9752517
2024-02-22 13:51:36.670,2.3055768,11.635656,5.317683,1248.6648,0.7073778
2024-02-22 14:51:36.670,1.9012146,11.670507,4.385517,1022.3334,0.57419044
2024-02-22 15:51:36.670,1.6193368,11.68087,3.7354858,922.86395,0.51616204
2024-02-22 16:51:36.670,1.5766895,11.848825,3.6372075,903.9142,0.5050433
2024-02-22 17:51:36.670,1.9320838,12.013557,4.456847,1047.1498,0.58847475
2024-02-22 18:51:36.670,2.513533,12.104891,5.797576,1270.8632,0.72012377
2024-02-22 19:51:36.670,2.898491,12.194626,6.684045,1760.6042,1.0129068
2024-02-22 20:51:36.670,3.103936,12.112104,7.1564918,2129.168,1.2368883
2024-02-22 21:51:36.670,3.2463856,12.042605,7.4820123,2922.5552,1.7272574
2024-02-22 22:51:36.670,3.2768292,12.009999,7.549253,3706.3804,2.2209973
2024-02-22 23:51:36.670,3.0666022,12.024099,7.067543,2952.7515,1.7461491
2024-02-23 00:51:36.670,2.6556392,12.033758,6.1235356,1887.349,1.08978
2024-02-23 01:51:36.670,2.2214878,11.888168,5.1238303,1271.345,0.7205926
2024-02-23 02:51:36.670,1.779219,11.68239,4.104159,999.81885,0.5610212
2024-02-23 03:51:36.670,1.5110309,11.604019,3.485625,917.20087,0.51291573
2024-02-23 04:51:36.670,1.4945546,11.584208,3.4476418,896.77893,0.50105923
2024-02-23 05:51:36.670,1.8952601,11.684217,4.3717265,1053.676,0.5925294
2024-02-23 06:51:36.670,2.5125492,11.864351,5.7949224,1353.5266,0.76936185
2024-02-23 07:51:36.670,2.9142005,11.941348,6.719416,1966.892,1.1381929
2024-02-23 08:51:36.670,3.125404,11.945887,7.20446,2531.5967,1.4845089
2024-02-23 09:51:36.670,3.2985413,11.921741,7.5991836,3709.1003,2.222915
2024-02-23 10:51:36.670,3.419103,11.892096,7.8687415,5778.677,3.561463
2024-02-23 11:51:36.670,3.4352298,11.872615,7.9015245,6844.857,4.267193
2024-02-23 12:51:36.670,3.2309952,11.912396,7.4358034,5790.646,3.569268
2024-02-23 13:51:36.670,2.890997,12.070761,6.663471,2765.1685,1.6291393
2024-02-23 14:51:36.670,2.4833298,12.073486,5.7266197,1746.5027,1.0045344
2024-02-23 15:51:36.670,2.0663483,12.033018,4.7662277,1205.4407,0.6815151
2024-02-23 16:51:36.670,1.7052326,12.030118,3.9336498,999.50183,0.5606014
2024-02-23 17:51:36.670,1.6222996,12.063525,3.7424407,948.2804,0.5307101
2024-02-23 18:51:36.670,1.9907478,12.14617,4.592109,1110.5593,0.6255625
2024-02-23 19:51:36.670,2.5024033,12.192169,5.7717543,1349.5627,0.7667124
2024-02-23 20:51:36.670,2.811388,12.302989,6.4827843,1918.6921,1.1084621
2024-02-23 21:51:36.670,2.9192681,12.262705,6.7301455,2346.1714,1.3696977
2024-02-23 22:51:36.670,2.9571433,12.245638,6.8169303,2505.4624,1.4678905
2024-02-23 23:51:36.670,2.8615863,12.252304,6.5971503,2347.6973,1.3706512
2024-02-24 00:51:36.670,2.5597816,12.204145,5.903479,1577.45,0.9027063
2024-02-24 01:51:36.670,2.1509886,12.032964,4.961578,1153.2028,0.6507246
2024-02-24 02:51:36.670,1.740176,11.945234,4.014288,961.1912,0.5383085
2024-02-24 03:51:36.670,1.4195194,11.88788,3.2747378,846.05597,0.47146964
2024-02-24 04:51:36.670,1.2155405,11.851273,2.8042293,791.459,0.43994242
2024-02-24 05:51:36.670,1.3602295,11.805234,3.1379917,802.8049,0.4465148
2024-02-24 06:51:36.670,2.0008395,11.8191805,4.6153727,1034.7278,0.58134013
2024-02-24 07:51:36.670,2.6087916,11.9778385,6.0169535,1360.7341,0.7735441
2024-02-24 08:51:36.670,2.9431474,11.972494,6.7860055,2022.9397,1.1722629
2024-02-24 09:51:36.670,3.1361616,11.973963,7.2278724,2935.368,1.7353805
2024-02-24 10:51:36.670,3.2723987,11.986719,7.53597,4523.545,2.7439961
2024-02-24 11:51:36.670,3.2820992,12.081952,7.5565553,5010.1074,3.058642
2024-02-24 12:51:36.670,3.044703,12.127177,7.012988,4163.9707,2.5125892
2024-02-24 13:51:36.670,2.6423044,12.508148,6.0924015,2142.9321,1.2447517
2024-02-24 14:51:36.670,2.2350202,12.650961,5.1554694,1290.3315,0.73116887
2024-02-24 15:51:36.670,1.7925012,12.829973,4.13535,1006.8833,0.56434524
2024-02-24 16:51:36.670,1.4862134,12.944441,3.4289665,890.4691,0.49654356
2024-02-24 17:51:36.670,1.4060134,12.998271,3.2440014,857.0958,0.4771821
2024-02-24 18:51:36.670,1.7344263,12.973088,4.001462,996.1134,0.5579568
2024-02-24 19:51:36.670,2.3205616,12.915495,5.353096,1236.8795,0.69932526
2024-02-24 20:51:36.670,2.781002,12.966968,6.4136596,1783.5807,1.025851
2024-02-24 21:51:36.670,3.0269418,12.8255825,6.9784455,2473.7632,1.4473898
2024-02-24 22:51:36.670,3.104247,12.718924,7.1542587,3143.6196,1.8643091
2024-02-24 23:51:36.670,3.109043,12.678203,7.1643744,3401.2336,2.026424
2024-02-25 00:51:36.670,2.9275646,12.721904,6.747879,2895.4268,1.7090927
2024-02-25 01:51:36.670,2.5177698,12.727758,5.8065095,1744.9957,1.0028632
2024-02-25 02:51:36.670,2.0430744,12.619395,4.712987,1154.7172,0.65114814
2024-02-25 03:51:36.670,1.5922358,12.538301,3.6733277,929.2889,0.5193478
2024-02-25 04:51:36.670,1.2888899,12.480306,2.9736085,833.6001,0.4639155
2024-02-25 05:51:36.670,1.1939487,12.422813,2.754596,796.55554,0.44256264
2024-02-25 06:51:36.670,1.4850749,12.359372,3.4261136,875.86835,0.48845392
2024-02-25 07:51:36.670,2.0818112,12.336592,4.8022757,1110.7802,0.62554646
2024-02-25 08:51:36.670,2.64383,12.325415,6.0973005,1614.2133,0.9246332
2024-02-25 09:51:36.670,2.9427764,12.323191,6.7847033,2249.817,1.3104435
2024-02-25 10:51:36.670,3.1249976,12.282288,7.2023163,2963.184,1.7521999
2024-02-25 11:51:36.670,3.2366498,12.204236,7.456235,3877.8677,2.3296423
2024-02-25 12:51:36.670,3.1735914,12.194536,7.3100953,4116.4033,2.4819732
2024-02-25 13:51:36.670,2.911717,12.402197,6.7110987,2889.3376,1.7058855
2024-02-25 14:51:36.670,2.496596,12.600134,5.7572894,1854.6569,1.0692756
2024-02-25 15:51:36.670,2.0480447,12.764531,4.7244706,1186.3297,0.6696399
2024-02-25 16:51:36.670,1.615485,12.914563,3.7270894,959.0682,0.53641355
2024-02-25 17:51:36.670,1.3628609,12.98748,3.1444042,877.9899,0.48928395
2024-02-25 18:51:36.670,1.4054787,12.978543,3.2427478,864.9596,0.48174486
2024-02-25 19:51:36.670,1.9189141,12.880632,4.426918,1055.488,0.59271467
2024-02-25 20:51:36.670,2.5489864,12.884245,5.879258,1512.0984,0.8628704
2024-02-25 21:51:36.670,2.9143078,12.758181,6.7196474,2182.8662,1.2688076
2024-02-25 22:51:36.670,3.102841,12.5971985,7.151919,2851.599,1.6820087
2024-02-25 23:51:36.670,3.2158551,12.458862,7.4095993,3594.4824,2.1490488
2024-02-26 00:51:36.670,3.1635673,12.406596,7.2883463,3798.3853,2.2785842
2024-02-26 01:51:36.670,2.86634,12.44412,6.6068335,2798.9512,1.6495066
2024-02-26 02:51:36.670,2.4529898,12.476461,5.6567574,1811.9567,1.0435951
2024-02-26 03:51:36.670,2.0174522,12.350668,4.653618,1206.3307,0.68177927
2024-02-26 04:51:36.670,1.6287241,12.226305,3.757265,988.37823,0.5539736
2024-02-26 05:51:36.670,1.3930655,12.138272,3.2137058,913.28455,0.51030624
2024-02-26 06:51:36.670,1.4011049,12.090506,3.2322834,879.6769,0.49082765
2024-02-26 07:51:36.670,1.8652166,12.103806,4.302575,1083.2981,0.6095931
2024-02-26 08:51:36.670,2.4756517,12.105614,5.709632,1485.9587,0.8480488
2024-02-26 09:51:36.670,2.8682985,12.123793,6.613196,2134.106,1.2398901
2024-02-26 10:51:36.670,3.085668,12.157718,7.1122923,2751.2075,1.6203121
