"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-01","4.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"16.7",",,W","5.0",",,W","  340",",,W","  340",",,W","8.1",",,W","11.2",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-02","3.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","0.0",",,W","  360",",,W","   10",",,W","8.1",",,W","14.3",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-03","1.6",",,W",,,"7.4",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","-1.0",",,W","  290",",,W","  290",",,W","6.3",",,W","8.1",",,W","    1",",,W",,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-04","3.4",",,W",,,"1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.2",",,W","0.0",",,W","  330",",,W","  350",",,W","9.8",",,W","14.3",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-05","2.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","-2.7",",,W","  110",",,W","  100",",,W","4.5",",,W","6.3",",,W","    1",",,W",,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-06","4.5",",,W",,,"4.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"18.9",",,W","2.2",",,W","  170",",,W","  160",",,W","10.7",",,W","20.6",",,W","    1",",,W",,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-07","4.4",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.6",",,W","5.6",",,W","  260",",,W","  260",",,W","9.4",",,W","12.1",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-08","3.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"10.0",",,W","2.2",",,W","   50",",,W","   40",",,W","7.6",",,W","10.3",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-09","8.0",",,W",,,"20.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"20.6",",,W","5.6",",,W","  200",",,W","  190",",,W","19.7",",,W","32.6",",,W","    1",",,W",,,,,"    1",",,W"
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-10","6.3",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.3",",,W","5.0",",,W","  230",",,W","  240",",,W","14.3",",,W","20.1",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-11","2.6",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"14.4",",,W","2.2",",,W","  260",",,W","  270",",,W","6.7",",,W","9.4",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-12","4.3",",,W",,,"2.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"21.1",",,W","-1.0",",,W","  220",",,W","  130",",,W","10.7",",,W","18.8",",,W","    1",",,W",,,,,"    1",",,W"
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-13","6.7",",,W",,,"0.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"20.6",",,W","5.6",",,W","  250",",,W","  260",",,W","13.0",",,W","18.3",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-14","3.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"16.7",",,W","2.8",",,W","  240",",,W","  260",",,W","8.1",",,W","10.7",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-01-15","1.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"18.9",",,W","4.4",",,W","  210",",,W","  200",",,W","5.8",",,W","8.1",",,W",,,,,,,,
