"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-06","3.8",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"17.2",",,W","5.6",",,W","  330",",,W","  340",",,W","8.1",",,W","13.0",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-07","2.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"20.6",",,W","3.9",",,W","  360",",,W","  340",",,W","6.3",",,W","8.9",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-08","2.5",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"23.3",",,W","6.7",",,W","  200",",,W","  200",",,W","7.6",",,W","10.7",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-09","3.1",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"24.4",",,W","14.4",",,W","  260",",,W","  260",",,W","7.6",",,W","9.8",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-10","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"25.0",",,W","14.4",",,W","  180",",,W","  200",",,W","7.2",",,W","10.7",",,W","    1",",,W",,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-11","7.5",",,W",,,"10.7",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"22.8",",,W","19.4",",,W","  180",",,W","  150",",,W","13.9",",,W","23.3",",,W","    1",",,W",,,"    1",",,W",,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-12","7.3",",,W",,,"0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"24.4",",,W","13.3",",,W","  310",",,W","  320",",,W","14.8",",,W","20.6",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-13","6.1",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"24.4",",,W","11.1",",,W","  280",",,W","  280",",,W","11.6",",,W","17.4",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-14","2.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"26.7",",,W","6.7",",,W","  220",",,W","  210",",,W","7.2",",,W","9.8",",,W",,,,,,,,,,
"USW00013748","WILMINGTON INTERNATIONAL AIRPORT, NC US","34.26678","-77.89987","7.0","2024-04-15","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"31.7",",,W","17.2",",,W","  230",",,W","  210",",,W","9.4",",,W","12.5",",,W",,,,,,,,,,
