% Device,CC1320002
% File name,CC1320002_20221214_185925
% Cast time (UTC),2022-12-14 18:59:25
% Cast time (local),2022-12-14 13:59:25
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2605309
% Start longitude,-77.9160346
% Start altitude,-41.830001831054688
% Start GPS horizontal error(Meter),7.0399999618530273
% Start GPS vertical error(Meter),11.039999961853027
% Start GPS number of satellites,7
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),17
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15232491520991928,12.825582515026161,9886.3515625,13068.340135373539,7.43483140939714,1467.0474199122564,1005.1551412543046
0.44999999999999996,0.45698656895564371,12.831425029444375,9888.9732533360348,13069.786884368485,7.4357822760552,1467.0745852479063,1005.156443881873
0.74999999999999989,0.76164440406035339,12.826937034449978,9880.99818354356,13060.79603345187,7.4301674380094349,1467.0565128733053,1005.1541495631531
1.05,1.0663023337493118,12.827475141731616,9882.3364269686572,13062.379117217863,7.4311154234447532,1467.0644483175897,1005.1562023959508
1.35,1.3709589993719622,12.825771006071118,9890.0174253991845,13073.120735347093,7.43764040482573,1467.0708759389402,1005.1628732757173
1.65,1.6756130568515932,12.824923238393863,9904.9028332003618,13093.090461511467,7.449836666106699,1467.0871396656526,1005.1737953646805
1.9500000000000002,1.9802665968331781,12.825185138055844,9891.422123873961,13075.180052353822,7.4388309423844081,1467.0798847398792,1005.1666707186427
2.25,2.2849209697961608,12.827684610785383,9893.6118837917747,13077.210494890982,7.44008519097854,1467.0952935636658,1005.1686813495007
2.55,2.5895741903212661,12.830102102790686,9902.1127478839462,13087.610391558364,7.4464684924579228,1467.1164927763246,1005.174658022054
2.85,2.894226320572185,12.833259757096867,9903.9556561623886,13088.953634644948,7.4473123306641344,1467.1337986859928,1005.1762584738062
3.15,3.1988740214550062,12.833225305222571,9946.5771256170647,13145.293647808583,7.4818246533008965,1467.1794968442109,1005.2042701103311
3.4499999999999997,3.5035120583793171,12.843174747876967,10006.903103919694,13221.542815301311,7.5287303611011538,1467.2760726404576,1005.2404160677419
3.75,3.8081419786650161,12.844865798950197,10033.9853515625,13256.732636954996,7.5503219533295525,1467.3126805141556,1005.258218984922
3.9540172464707322,4.0153065135386372,12.847091307478912,10026.124674372899,13245.568322434925,7.5434854937856217,1467.31593455973,1005.2535822605132
