% Device,CC1320002
% File name,CC1320002_20221214_194215
% Cast time (UTC),2022-12-14 19:42:15
% Cast time (local),2022-12-14 14:42:15
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2547729
% Start longitude,-77.9337791
% Start altitude,-39.680000305175781
% Start GPS horizontal error(Meter),1.2799999713897705
% Start GPS vertical error(Meter),2.2000000476837158
% Start GPS number of satellites,8
% End latitude,34.254882
% End longitude,-77.9340611
% End altitude,-37.75
% End GPS horizontal error(Meter),7.7600002288818359
% End GPS vertical error(Meter),12.029999732971191
% End GPS number of satellites,8
% Cast duration (Seconds),36.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15166465445384023,13.455812261668834,17115.769531249996,22253.8135650177,13.245071205631275,1476.1491323938792,1009.5321795266597
0.44999999999999996,0.45499558757237296,13.467911379775844,17221.76655996457,22384.587494161118,13.33003748138721,1476.2961686707645,1009.5969325631497
0.74999999999999989,0.75831131330098667,13.468650601733538,17238.014117073959,22405.275266267268,13.343404471378143,1476.319337320406,1009.6084721755184
1.05,1.0616255905312404,13.467900784141159,17233.10791230675,22399.334979322939,13.339481845943809,1476.3169974604932,1009.6069596677667
1.35,1.3649406546194449,13.469905554653341,17227.202301849946,22390.492065772873,13.33376094380403,1476.3222068876878,1009.6036182994151
1.65,1.6682550041274897,13.466254096503734,17235.815360329267,22403.813115111541,13.342227136777758,1476.3242285014421,1009.6121010964012
1.9500000000000002,1.9715698226528353,13.465842965226527,17216.134057595744,22378.469741530538,13.325749050712158,1476.3083433614252,1009.6008803498045
2.25,2.2748845195180616,13.466716559934836,17233.823267066633,22400.954394189954,13.34028305829405,1476.3333534525502,1009.6132953576397
2.55,2.5781966061014789,13.466775879227262,17240.05090651468,22409.014678852527,13.345451954297936,1476.3445188634557,1009.6186417981779
2.85,2.8815066801075657,13.469431301290634,17252.774878308126,22424.005625642432,13.355186890112172,1476.3701455362043,1009.6270780608724
3.15,3.1848144093276791,13.471082882355578,17263.476871186132,22436.95209201386,13.363568493546834,1476.3906635684584,1009.6346363183175
3.4499999999999997,3.48812006726564,13.47406571810567,17273.607409831369,22448.3780014215,13.371005065521587,1476.4147396608555,1009.6412519634428
3.75,3.7914247992682077,13.476584564341168,17273.105819285069,22446.256619270225,13.369652237976334,1476.4268754636266,1009.6411851230299
4.05,4.094728870668189,13.476722070717218,17278.61805672264,22453.339482721378,13.374191348593119,1476.4375757893461,1009.6460343548582
4.35,4.3980319162212691,13.477459804901018,17280.690541752687,22455.602097142055,13.375625710863684,1476.4467375089928,1009.6483991867419
4.6499999999999995,4.7013341700279,13.480730412889807,17285.877454420963,22460.433142701924,13.378799050432711,1476.4668182727737,1009.6516899062534
4.9499999999999993,5.004635474080799,13.480670940254411,17289.0458966017,22464.584782636579,13.381433618954416,1476.4745935116714,1009.6551067374397
5.2499999999999991,5.307936225361999,13.481456269565344,17288.497189151021,22463.41337506027,13.380644745075855,1476.4813134063481,1009.6557544730304
5.55,5.611236841203513,13.482426530951665,17288.056907689061,22462.274947480462,13.379882724956119,1476.4887130115528,1009.6563928152233
5.85,5.9145370095239347,13.481874066021504,17289.829477789695,22464.900550485618,13.381514055951921,1476.4935832219489,1009.6591183293282
6.1499999999999995,6.2178366355990491,13.4820534999929,17289.83797974624,22464.806847884862,13.381405409496606,1476.4989774382891,1009.6603873321853
6.4499999999999993,6.52113530594671,13.483261108398439,17297.035156250004,22473.452948189941,13.386989325912248,1476.5146544517186,1009.6658657849987
6.8861811057381015,6.9621125626321767,13.48368585203097,17285.916733123482,22458.759277356512,13.377405336163907,1476.5120124759183,1009.6604375601351
