% Device,CC1320002
% File name,CC1320002_20221214_161451
% Cast time (UTC),2022-12-14 16:14:51
% Cast time (local),2022-12-14 11:14:51
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.2624113
% Start longitude,-77.8877117
% Start altitude,-35.389999389648438
% Start GPS horizontal error(Meter),6.71999979019165
% Start GPS vertical error(Meter),11.970000267028809
% Start GPS number of satellites,7
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),22.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.152943502403516,9.6460335952247718,2323.1007357289204,3352.6214903415544,1.7286657879757461,1448.0359249612789,1001.0916248320247
0.44999999999999996,0.45884026281921952,9.6472360154254169,2325.8393031152527,3356.4572107278018,1.7307525701502957,1448.0481020080968,1001.0945863614196
0.74999999999999989,0.76473281730027787,9.647074311212787,2327.6260285980766,3359.0513410894118,1.7321563761260761,1448.0539922219432,1001.0971328802565
1.05,1.0706249873103841,9.6467856665868261,2325.82143847062,3356.4750578199082,1.7307437101893897,1448.0558765704159,1001.0974839533881
1.35,1.3765168309022735,9.6474338832773583,2327.1561434089595,3358.3383855336042,1.7317536161922422,1448.0645061612306,1001.0996505048421
1.65,1.6824084098646603,9.6488221329522634,2325.036286325284,3355.1447685635635,1.7300133154789272,1448.0726683709797,1001.0995971441604
1.9500000000000002,1.9882995392641678,9.6471903213463559,2327.872475785156,3359.3957463715878,1.7323119233851574,1448.0738100599808,1001.1029741797463
2.25,2.2941901407136678,9.648648099472954,2326.60024415236,3357.4185022643787,1.7312343727478821,1448.083073115972,1001.1034338986729
2.55,2.6000812641662518,9.6468875710723019,2318.2476508904792,3345.5352174635909,1.7247466214484348,1448.072783143743,1001.0999385076136
2.85,2.9059729249720307,9.6465991106748472,2316.4559067923542,3342.9773285866877,1.723344443993611,1448.0746812483603,1001.1002977507167
3.15,3.2118636373289386,9.6464045961429772,2324.2196305475532,3354.2003241604725,1.7294460399134322,1448.086278848675,1001.1065276399568
3.4499999999999997,3.5177528193746395,9.647730891271161,2328.9431675127807,3360.8884443562706,1.7330868478963222,1448.1008813199769,1001.1106954958484
3.75,3.8236410993582726,9.6483922444898411,2330.2015482697693,3362.6402227080871,1.7340361203848194,1448.1094881970685,1001.1128132235823
4.05,4.1295287846348616,9.65133429196839,2331.9876706948921,3364.9319980665341,1.7352911511752698,1448.127566668162,1001.1149692924371
4.2026718803074044,4.2851966737324716,9.6506891250610369,2333.306884765625,3366.8982402402867,1.7363546676481889,1448.1287544659574,1001.1165882939579
