% Device,CC1320002
% File name,CC1320002_20221214_172446
% Cast time (UTC),2022-12-14 17:24:46
% Cast time (local),2022-12-14 12:24:46
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,34.257826
% Start longitude,-77.8978977
% Start altitude,-53.459999084472656
% Start GPS horizontal error(Meter),1.5
% Start GPS vertical error(Meter),2.0399999618530273
% Start GPS number of satellites,8
% End latitude,34.2579241
% End longitude,-77.8978483
% End altitude,-41.279998779296875
% End GPS horizontal error(Meter),7.3499999046325684
% End GPS vertical error(Meter),11.449999809265137
% End GPS number of satellites,6
% Cast duration (Seconds),17.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-05-22
% Temperature calibration date,2013-05-22
% Pressure calibration date,2013-05-22
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15269537525200491,11.612538017289561,5472.6956039961415,7473.7998242729946,4.0713536342376679,1458.533555163539,1002.7130620081416
0.44999999999999996,0.45810115641879362,11.617831992734105,5476.18644223292,7477.48589173648,4.0735326235062841,1458.5609886924372,1002.7155335368614
0.74999999999999989,0.76350168182905109,11.61452513344538,5470.4974622282607,7470.3924771528145,4.0693546229898425,1458.5482929934628,1002.714101041977
1.05,1.0689021259464255,11.617770071799486,5473.1100951087683,7473.2979157075788,4.0710591592702894,1458.5674234610544,1002.7164490505039
1.35,1.3743014974106595,11.618253367989658,5479.2379816807061,7481.5665381659855,4.07585764697675,1458.5798767845147,1002.7215263990519
1.65,1.6796982139207166,11.632158405152667,5502.2472834974806,7510.1325215982033,4.09260310394396,1458.6573872144952,1002.7342649695385
1.9500000000000002,1.9850931627910551,11.626479318915372,5496.8764654020615,7503.9651197968888,4.0889390308388274,1458.6363733557571,1002.7335156611225
2.25,2.290488115716268,11.627435781688369,5496.7153649133006,7503.5492488138434,4.0886883875470428,1458.6445068212158,1002.7346200460206
2.55,2.5958824654229145,11.62271213531494,5498.1328124999991,7506.4522695442329,4.0903137189371463,1458.6334872272021,1002.7378585847065
2.9127875231625,2.9651923054678835,11.624851783940969,5500.5637509255739,7509.3324382235805,4.091989621420371,1458.6494228093841,1002.7406114620094
